# S1 依赖边表 —— 依赖图的唯一权威源
# 格式： <使用者> -> <被使用者> | <A|B|D> | <类型> | <出处>
# A=使用期依赖(进 DAG)  B=事件通道(不进 DAG)  D=协议契约(不进 DAG)
# 建表日期 2026-09-20 ｜ 方法见 S1-#5依赖图方法-定稿.md
# 候选来源：§五 数据所有权表(机械抽) + §17.5 数据流(人工推)；方向由人工按方法 §二 判定
#
# 【2026-09-20 用户裁决 · 两处】
#  · 红1 真环 core/program ↔ core/execution —— 裁 A：
#      core/program 只存"覆盖项"，不读基线；生效值计算归 core/execution
#      ⇒ 删除 `core/program -> core/execution`，环断（只保留 execution -> program 单向）
# 【2026-09-20 交付评审（rev-deps-a/b）后修正】
#  · D 级 #50 `infra/config -> core/device`(B) 违反「infra → 业务」且复活 §7.2.1② 已断的环
#      ⇒ 拆为 `infra/config -> infra/eventbus`(pub) + `infra/eventbus -> core/device`(sub)
#      ⇒ 结论：配置变更通知必须经 eventbus 中转，config 永不认识业务类型
#  · C 级 #22/#23（core/execution -> concurrency / comm/interface）出处失真：
#      §17.5 该两跳实为 device→concurrency、concurrency→comm/interface（execution 全链不出现）⇒ 已删
#  · 补漏边：device→concurrency · device→eventbus · device→error(事件) · dashboard→comm/interface · alarm→execution
#
#  · 红2 禁边 infra/lifecycle -> data/store 违反「infra → 业务」—— 裁 A（改设计）：
#      data/store 提供快照接口；infra/lifecycle 不直接写
#      ⇒ 采【依赖倒置】：接口定义在 infra/lifecycle，data/store 实现它，装配点注入
#      ⇒ 边改为 `data/store -> infra/lifecycle`（方向合法，且无环）

# ============ A 层 · 使用期依赖 ============
# 【装配点（组合根）】依 2026-09-20 裁 B：模块不依赖 infra/config；由组合根加载+注入
main -> infra/config       | A | usage | §7.2.1② 组合根：加载 + 校验
main -> core/device        | A | usage | §7.2.1② 组合根：注入配置结构体（§七 读取方）
main -> core/execution     | A | usage | §7.2.1② 组合根：注入（§七 读取方）
main -> core/concurrency   | A | usage | §7.2.1② 组合根：注入（§七 读取方）
main -> core/alarm         | A | usage | §7.2.1② 组合根：注入（§七 读取方）
main -> core/error         | A | usage | §7.2.1② 组合根：注入（§七 读取方）
main -> app/scene3d        | A | usage | §7.2.1② 组合根：注入（§七 读取方）
main -> app/dialogs        | A | usage | §7.2.1② 组合根：注入（§七 读取方）
main -> comm/interface     | A | usage | §7.2.1② 组合根：注入（§七 读取方）
main -> data/log           | A | usage | §7.2.1② 组合根：注入（§七 读取方）
app/main_window -> core/device        | A | usage | §五:设备状态(只读)
app/main_window -> qt                 | A | usage | 用户定(界面框架 Qt)
app/scene3d     -> core/device        | A | usage | §五:设备状态(只读)
app/scene3d     -> core/mapping       | A | usage | §五:坐标→几何映射参数(只读)
app/scene3d     -> core/program       | A | usage | §五:程序/轨迹(只读)
app/scene3d     -> vtk                | A | usage | P-006(3D 渲染用 VTK)
app/scene3d     -> qt                 | A | usage | 用户定(界面框架 Qt)
app/dashboard   -> core/device        | A | usage | §五:设备状态(只读)
app/dashboard   -> core/alarm         | A | usage | §五:报警(只读)
app/dashboard   -> core/stats         | A | usage | REQ-MON-002/004
app/dashboard   -> data/store         | A | usage | REQ-MON-003(数据导出)
app/dashboard   -> qt                 | A | usage | 用户定(界面框架 Qt)
app/dialogs     -> core/execution     | A | usage | REQ-RUN-010(作业前点检确认)
app/dialogs     -> core/device        | A | usage | REQ-DEV-005(批量下发二次确认)
app/dashboard   -> comm/interface     | A | usage | REQ-COM-003(连接状态可见)
app/dialogs     -> qt                 | A | usage | 用户定(界面框架 Qt)

core/device        -> core/statemachine | A | usage | REQ-STA-001(状态集合)
core/execution     -> core/device       | A | usage | §五:设备清单/参数
core/execution     -> core/program      | A | usage | §五:程序/轨迹
core/execution     -> core/statemachine | A | usage | REQ-RUN-004(急停迁移)
core/execution     -> data/log          | A | usage | §五硬约束②(唯一写者,经接口)
core/execution     -> data/store        | A | usage | REQ-DB-001
core/concurrency   -> core/device       | A | usage | §五:设备状态(只投递不持有)
core/device        -> core/concurrency  | A | usage | §17.5:下发投递(第一跳)
core/device        -> infra/eventbus    | A | usage | §17.5:唯一事实源→事件
core/concurrency   -> comm/interface    | A | usage | §17.5:下发投递(第二跳)
core/concurrency   -> data/log          | A | usage | REQ-LOG-005(通信日志)
core/error         -> core/device       | A | usage | §五:设备状态(归正读实际位置)
core/error         -> core/vision       | A | usage | REQ-VIS-003(对位/测高结果进误差链路)
core/error         -> data/log          | A | usage | REQ-LOG-007(误差日志)
core/error         -> data/store        | A | usage | §五:记录(含误差日志)
core/alarm         -> core/device       | A | usage | §五:设备状态
core/alarm         -> core/execution    | A | usage | REQ-ALM-004(严重报警触发停机)
core/alarm         -> core/error        | A | usage | §五:误差/修正量(只读)
core/alarm         -> data/log          | A | usage | §五:报警(记录)
core/stats         -> core/device       | A | usage | §五:设备状态

comm/modbus -> comm/interface | A | usage | REQ-COM-002(对外语义 Modbus TCP)
data/store -> infra/lifecycle | A | usage | §六:ARCH-007 快照接口(依赖倒置：接口定义在 infra/lifecycle，data/store 实现，装配点注入)
# 【2026-09-21 双向核对·正向查漏 补边 9 条（dep-audit-forward：78 跳中 74 命中 ⇒ 漏 9）】
main -> app/main_window       | A | usage | §7.2.1② 组合根：装配 UI 外壳（与 main→scene3d/dialogs 同性质）
main -> app/dashboard         | A | usage | §7.2.1② 组合根：装配 UI 外壳
app/main_window -> core/program | A | usage | §四:REQ-PRG-001/002（编程/校验的写触发）
core/device -> core/alarm     | A | usage | REQ-ALM-003（通信失败属报警类型；掉线路径原缺路由）
core/program -> data/log      | A | usage | §五硬约束②（程序变更留痕，经接口）
app/dialogs -> data/log       | A | usage | REQ-LOG-001（操作日志）
core/device -> data/log       | A | usage | REQ-LOG-002（事件日志）
core/statemachine -> data/log | A | usage | REQ-LOG-002（状态迁移事件）
core/stats -> data/store      | A | usage | REQ-MON-002（产量统计需持久化）

# ============ B 层 · 事件通道（不进 DAG；须作为清单交 #6） ============
core/device -> app/scene3d   | B | pub | 决策17(状态变更→3D 刷新)
core/device -> app/dashboard | B | pub | 决策17(状态变更→总览)
core/alarm  -> app/dashboard | B | pub | 决策17(报警→呈现)
core/error  -> core/alarm    | B | pub | REQ-ERR-006(超阈值告警)
core/device -> core/error    | B | pub | §17.5:状态变更触发偏差计算
infra/config -> infra/eventbus | B | pub | §7.2.1④ 配置变更通知（经 eventbus 中转 —— config 不得认识业务类型）
core/device -> infra/eventbus | B | sub | §7.2.1④ 订阅配置变更（订阅者注册到 eventbus，方向朝 eventbus）

# ============ D 层 · 协议契约（不进 DAG） ============
comm/interface -> apps/virtual-device | D | protocol | §14.2 E2(Modbus TCP 语义,下发)
apps/virtual-device -> comm/interface | D | protocol | §14.2 E2(上报坐标/状态/误差/IO)
app/main_window -> E1 | D | protocol | §14.2 E1(图形界面)
data/store -> E4 | D | protocol | §14.2 E4(文件 API)
data/log   -> E4 | D | protocol | §14.2 E4(文件 API)
infra/config -> E4 | D | protocol | §14.2 E4(配置文件)
data/log -> E5 | D | protocol | §14.2 E5(时间戳来源)
infra/build -> E6 | D | protocol | §14.2 E6(构建环境)
core/alarm -> E7 | D | protocol | REQ-ALM-002(第一次确认时关声光)
